,project,property_type,price,area,n_bedrooms,n_bathrooms,balcony_direction,legal,posted_date,post_title,post_description,post_id,Cl Gia,area_cl
623,Vinhomes Times City - Park Hill,Apartment,3550.0,109.0,3,2,Đông-Nam,unknown,2020-11-17 00:00:00 UTC,None,"Quý khách hãy liên hệ để được tư vấn và chọn căn miễn phí:Phòng KD Vinhomes Times City E Dương: 0968 573 945.Danh sách các căn hộ chủ nhà gửi bán cắt lỗ tại Times City Park Hill, Park Hill Premium.Bên khu Times:Căn 75m2. Tòa T1,4,567, giá 2,65 - 2.75 tỷ bao phí.Căn 87m2 căn hoa hậu tòa T567, giá 3.1- 3.3 tỷ bao phí.Căn 90m2 tầng trung tòa T4567, giá 2.9- 3.1 tỷ bao phí, full đồ.Căn 94.4m2 tầng trung tòa T1, giá 3 tỷ bao phí, gần như full đồ.Căn 94.4m2 tầng trung hướng Nam T4 sửa rất đẹp, full đồ đẹp, xịn, giá 3.35 tỷ bao phí.Căn 109m2 tầng đẹp view trực diện nhạc nước tòa T3. Giá 3,55 tỷ bao phí, nhà mới nguyên, full nội thất đẹp.Căn góc 97,5m2 view nhạc nước, giá chỉ 3.3 tỷ bao phí, nhà mới.Căn góc 3 phòng ngủ 110m2, giá 4 - 4.3 tỷ bao phí.Căn 3 phòng ngủ tòa T11 tầng trung, giá 4 - 4.15 tỷ bao phí.Căn 95m2 giá 3 - 3.1 tỷ bao phí.Căn 118m2 tòa T2,3 giá 3,9 tỷ bao phí.Căn hoa hậu 94,3m2 giá 3,45 tỷ bao phí.Căn 83m2 tầng trung ban công nam tòa T11 giá 3,1 tỷ bao phí.Căn 83m2 tòa T8,9 giá 2.8 tỷ bao phí.Căn 4 phòng ngủ rộng nhất Times 160m2 view nhạc nước giá 7.3 tỷ bao phí.Bên khu Park Hill:Căn góc tòa Park 1 giá 5.1 tỷ bao phí.Căn 70m2 view Quảng trường park hill giá 2.75 tỷ bao phí.Căn 84 m2 tòa P1 giá 3,4 tỷ bao phí.Căn 80,1m2 tòa park 7 giá 3,15 tỷ bao phí.Căn 3 phòng ngủ hoa hậu tầng trung tòa P3, giá 4.75 tỷ bao phí.Căn góc Đông Nam 3 phòng ngủ tòa P5, giá 4.4 tỷ bao phí.Căn góc 115m2, Park Hill view thoáng đẹp, có 10 năm dịch vụ, giá 4.9 tỷ bao phí.Căn góc 128m2 view đẹp. Giá 5.65 tỷ bao phí.Căn 115m2 view và thiết kế siêu đẹp tòa P7. Giá 4.9 tỷ.Siêu phẩm căn góc 4 phòng ngủ tòa P8, giá chỉ 6.3 tỷ bao phí.Bên Premium:Căn 68m2 có 10 năm miễn dịch vụ giá 2.8 tỷ bao phí.Căn 79m2 tòa P12 giá 3.2 tỷ bao phí.Căn 3 phòng ngủ, 118,5m2, full đồ đẹp tòa P12 giá 4,8 tỷ bao phí.Căn góc Đông Nam tòa Park 9, giá 5,6 tỷ bao phí, full đồ đẹp.Căn 75m2 view nhạc nước tòa P9 giá 2.9 tỷ bao phí.Căn 79m2 tòa P10 view nhạc nước giá 3.1 tỷ bao phí.Căn 118,5m2 tòa P11 giá 5 tỷ bao phí.Căn 4 phòng ngủ vip nhất dự án giá 7.75 tỷ bao phí, nhà mới chưa ở, miễn phí 10 năm dịch vụ.Ngoài ra chúng tôi còn rất nhiều căn chủ nhà gửi bán cắt lỗ sâu.Hãy liên hệ: 0968 573 945 để chọn được căn hộ ưng ý nhất cho gia đình bạn.Tất cả mọi giao dịch quý khách hàng đều làm việc trực tiếp với chủ nhà, chúng tôi sẽ hỗ trợ mọi thủ tục pháp lý liên quan đến quá trình mua bán, chuyển nhượng căn hộ từ khi hai bên ký hợp đồng đặt cọc, ký hợp đồng công chứng đến lúc ra sổ đỏ đứng tên khách hàng.",24504068,3-4.5,100-150
624,Vinhomes Times City - Park Hill,Apartment,4300.0,97.0,3,2,Nam,unknown,2020-11-17 00:00:00 UTC,None,"Gia đình cần bán nhanh căn 3PN, diện tích 97m2 tòa Park 5 - Park Hill.- Căn hộ được thiết kế 3 phòng ngủ, 1 phòng khách + 1 bếp và 2WC. Các phòng thiết kế vuông vắn, tận dụng hết công năng diện tích, là thiết kế căn 3 phòng ngủ đẹp Park Hill.- Ban công hướng Nam đón gió mát, view trung tâm thành phố.- Nội thất nguyên bản chủ đầu tư mới 100%: Điều hòa, tủ âm tường, tủ bếp và thiết bị bếp, hệ thống đèn chiếu sáng, hệ thống điều khiển thông minh, khách lấy đồ thỏa thuận thêm về giá.- Căn hộ có phí dịch vụ 10 năm, có sổ đỏ không vay.- Giá: 4.3 tỷ, bao phí sang tên.Liên hệ: 098 2591 304.",27831051,3-4.5,80-100
625,Vinhomes Times City - Park Hill,Apartment,2700.0,64.0,2,2,Nam,có sổ đỏ/sổ hồng,2020-11-17 00:00:00 UTC,None,"Gia đình cần tiền bán nhanh căn hộ 2PN sáng 64m2 nhà mới tòa Park 5 Times City Park Hill giá chỉ: 2.7 tỷ bao phí.Căn hộ thuộc tòa Park 5 với thiết kế thông minh và hiện đại.Diện tích 64m2 với thiết kế có 2PN sáng, phòng khách rộng, bếp.View có nhiều cây xanh và bể bơi ngoài trời Xung quanh tòa nhà có nhiều dịch vụ và tiện ích hiện đại phục vụ cư dân.Nội thất nguyên bản chủ đầu tư, bao gồm: Sàn gỗ, trần thạch cao, tủ âm tường, điều hòa, thiết bị nhà bếp và nhà vệ sinh,...Căn hộ đã làm sổ đỏ.Giá chốt: 2.7 tỷ (bao phí).LH: 0966674793.",27601035,2-3,50-80
626,Vinhomes Times City - Park Hill,Apartment,3580.0,80.0,2,2,Bắc,có sổ đỏ/sổ hồng,2020-11-17 00:00:00 UTC,None,"Không thể rẻ hơn với căn hộ 2PN. DT 80m2 tại P8 Park hill City giá sốc 3.580 tỷ.Thông tin căn hộ:- Diện tích: 80m2 - 2PN thuộc tòa P8 Park hill với thiết kế các phòng đều thoáng rộng.- Ban công hướng Bắc thoáng mát.Nội thất bán nguyên bản của chủ đầu tư: Sàn gỗ, trần thạch cao, điều hòa, tủ âm tường, thiết bị vệ sinh cao cấp.. Nhà mới.- Pháp lý: Sổ đỏ chính chủ.- Giá bán: 3.580 tỷ bao phí.LH: Hồng Ly 0966.674.793.",27722566,3-4.5,80-100
627,Vinhomes Times City - Park Hill,Apartment,4800.0,116.0,3,2,Bắc,unknown,2020-11-17 00:00:00 UTC,None,"Chính chủ bán căn hộ 3 phòng ngủ Park 10.Diện tích căn hộ 116m2 với thiết kế 3 phòng ngủ view nhạc nước.Căn hộ tầng trung, ban công hướng Bắc tránh nắng.Nội thất đầy đủ tivi, sofa, giường tủ.Giá bán 4,8 tỷ.Liên hệ Minh Đức: 090.2244.953.",26364658,4.5-7.5,100-150
628,Vinhomes Times City - Park Hill,Apartment,2900.0,73.1,2,2,Bắc,unknown,2020-11-17 00:00:00 UTC,None,"Thông tin căn hộ như sau:- Diện tích: 73.1m2.- Căn hộ thuộc tầng trung, thiết kế 2 phòng ngủ, 1 phòng khách, bếp và 2 WC.- Nội thất nguyên bản chủ đầu tư: Trần thạch cao, sàn gỗ, hệ thống điều hòa âm trần, tủ âm tường, tủ bếp, thiết bị vệ sinh cao cấp...- Giá bán: 2,9 tỷ, bao phí.- Liên hệ: Trần Hoa 0977088770.Website: http://bdsnhamoi.vn/",23927426,2-3,50-80
629,Vinhomes Times City - Park Hill,Apartment,4300.0,97.0,3,2,Nam,có sổ đỏ/sổ hồng,2020-11-17 00:00:00 UTC,None,"Gia đình cần tiền bán gấp căn góc 97m2 toà Park 5 tầng trung Times City đẹp nhất dự án.- Căn hộ được thiết kế 3 phòng ngủ, 1 phòng khách + 1 bếp và 2WC. Các phòng thiết kế vuông vắn, tận dụng hết công năng diện tích, là thiết kế căn 3 phòng ngủ đẹp nhất, được coi là hoa hậu Park Hill.- Ban công hướng Nam đón gió mát, cửa chính Tây, view trung tâm thành phố, trung tâm khu trường học, vườn cây xanh mát.- Nội thất nguyên bản chủ đầu tư mới 100%: Điều hòa, tủ âm tường, tủ bếp và thiết bị bếp, hệ thống đèn chiếu sáng, hệ thống điều khiển thông minh.- Căn hộ có phí dịch vụ 10 năm, có sổ đỏ không vay.- Gía: 4.3 tỷ, bao phí sang tên.Liên hệ: 0977088770.",27579451,3-4.5,80-100
630,Vinhomes Times City - Park Hill,Apartment,5700.0,120.0,3,2,Đông-Bắc,có sổ đỏ/sổ hồng,2020-11-17 00:00:00 UTC,None,"Gia đình cần vốn kinh doanh bán gấp:- Diện tích: 120m2, là căn góc hướng Đông Bắc cửa vào Tây, view thoáng đẹp.- Thiết kế: 03PN sáng, phòng khách rộng, bếp thông logia, 02wc, 02 logia...- Nội thất: Nguyên bản chủ đầu tư.- Căn hộ có sổ đỏ, có suất để xe.- Giá bán: 5.7 tỷ, tỷ, có thương lượng sâu.Liên hệ xem nhà: Trần Hoa 0977088770.",27194873,4.5-7.5,100-150
631,Vinhomes Times City - Park Hill,Apartment,3150.0,75.0,2,2,Đông-Bắc,có sổ đỏ/sổ hồng,2020-11-17 00:00:00 UTC,None,"Cực hot, bán gấp căn góc 2PN sáng 75m2 tòa Park 11 Times City view bể bơi giá 3,15 tỷ (bao phí).- Căn hộ thuộc tòa Park 11 với thiết kế thông minh và hiện đại.- Diện tích 75m2 với thiết kế có 2PN sáng, phòng khách rộng, có logia, bếp thoáng.- Ban công hướng Đông Bắc thoáng mát, có nhiều cây xanh, view rộng khu bể bơi ngoài trời. Xung quanh tòa nhà có nhiều dịch vụ và tiện ích hiện đại phục vụ cư dân.- Nội thất nguyên bản chủ đầu tư, bao gồm sàn gỗ, trần thạch cao, điều hòa âm trần, tủ âm tường, thiết bị bếp và nhà vệ sinh,- Căn hộ có phí dịch vụ, có suất để xe và đã có sổ đỏ.Bán nhanh giá rẻ chỉ 3,15 tỷ (bao phí).Liên hệ xem nhà Trần Hoa - 0977088770.",27723883,3-4.5,50-80
632,Vinhomes Times City - Park Hill,Apartment,3350.0,74.0,2,2,Nam,unknown,2020-11-17 00:00:00 UTC,None,"Chuyển nhượng gấp căn hộ 74m2 tòa P10 Park Premium:+ Thiết kế 3 phòng ngủ, 1 phòng khách, 1 bếp và 2 WC tất cả đều đón ánh sáng tự nhiên. View nội khu tuyệt đẹp.+ Ban công hướng Nam mát mẻ.+ Nội thất: Nguyên bản CĐT: Sàn gỗ, điều hòa âm trần, tủ âm tường, tủ bếp, thiết bị vệ sinh.+ Giá: 3.350 tỷ.Liên hệ: 0966674793.",27826181,3-4.5,50-80
633,Vinhomes Times City - Park Hill,Apartment,3050.0,81.0,2,2,unknown,có sổ đỏ/sổ hồng,2020-11-17 00:00:00 UTC,None,"Bán phá giá thị trường căn hộ 2 ngủ tại tòa vip T10 tầng trung, hướng nam giá chỉ 3.050 tỷ. LH: 0978468230.- Diện tích: 81m.- Ban công: Hướng Nam, view thoáng mát...- Thiết kế căn hộ: Căn hộ được thiết kế với 2 phòng ngủ vuông vắn, 2 WC, phòng khách rộng thoáng, phòng bếp riêng biệt nên khi nấu ăn không bị mùi thức ăn.- Nội thất căn hộ: Điều hòa, bếp điện, tủ bếp, tủ âm tường, sàn gỗ, trần thạch cao, thiết bị vệ sinh nhập ngoại, đèn chùm...- Pháp lý: Căn hộ đã có sổ đỏ.- Giá bán: 3.050 tỷ bao phí.- Liên hệ: Lâm Hòa 0978468230 (zalo, viber, Ims).",27825912,3-4.5,80-100
634,Vinhomes Times City - Park Hill,Apartment,5150.0,118.5,3,2,Đông-Nam,có sổ đỏ/sổ hồng,2020-11-17 00:00:00 UTC,None,"Chính chủ bán gấp CH chung cư Park Hill Premium - Park 11 - S= 118,5m2 - 3PN. Thoáng sáng.+ Tổng diện tích: 118,5m2, thiết kế 3PN, có 2WC, phòng khách và bếp, bếp có logia riêng nên rất thoáng. View không bị che chắn cực thoáng mát.+ Nội thất bán cơ bản chủ đầu tư: Chủ nhà để lại toàn bộ nội thất cao cấp trong căn hộ, khách chỉ việc xách vali vào ở.+ Pháp lý: Sổ đỏ chính chủ.+ Giá bán: 5,15 tỷ, bao phí sang tên. Có thương lượng thêm cho khách nhiệt tình.Liên hệ xem nhà: 0968 573 945.",27598208,4.5-7.5,100-150
635,Vinhomes Times City - Park Hill,Apartment,2700.0,80.0,2,2,Đông-Nam,unknown,2020-11-17 00:00:00 UTC,None,"BĐS Nhà Mới đơn vị chuyển nhượng và cho thuê số 1 Times City - Park Hill.Với đội ngũ chuyên viên tư vấn chuyên sâu và am hiểu pháp lý, với kinh nghiệm làm chuyển nhượng cho thuê tại Times City nhiều năm nên chúng tôi nhận được sự tin tưởng tuyệt đối từ phía cư dân nơi đây. Khi giao dịch căn hộ, chúng tôi có một phòng pháp lý chuyên hỗ trợ khách hàng và chủ nhà tất cả các hồ sơ giấy tờ, thủ tục pháp lý liên quan đến thủ tục mua bán và chuyển nhượng căn hộ.Quý khách hãy liên hệ số hotline 24/7: 0982 591 304 để được tư vấn và chọn căn miễn phí.Danh sách các căn hộ chủ nhà gửi bán cắt lỗ tại Times City Park Hill, Park Hill Premium.Bên khu Times:Căn 75m2 tòa T1,4,567, giá 2.65 tỷ bao phí.Căn 87m2 căn hoa hậu tòa T567, giá 3.1 tỷ - 3.3 tỷ bao phí.Căn 90m2 tầng trung tòa T4567, giá 2.9 tỷ - 3.1 tỷ bao phí, full đồ.Căn 94.4m2 tầng trung tòa T1, giá 3 tỷ bao phí, gần như full đồ.Căn 94.4m2 tầng trung hướng nam T4 sửa rất đẹp, full đồ đẹp, xịn giá 3.35 tỷ bao phí.Căn 109m2 tầng đẹp view trực diện nhạc nước tòa T3 giá 3,55 tỷ bao phí, nhà mới nguyên, full nội thất đẹp.Căn góc 97,5m2 view nhạc nước, giá chỉ 3.3 tỷ bao phí, nhà mới.Căn góc 3 phòng ngủ 110m2 giá 4 4.3 tỷ bao phí.Căn 3 phòng ngủ tòa T11 tầng trung giá 4 - 4.15 tỷ bao phí.Căn 95m2 giá 3 3.1 tỷ bao phí.Căn 118m2 tòa T2,3 giá 3,9 tỷ bao phí.Căn hoa hậu 94,3m2 giá 3,42 tỷ bao phí.Căn 83m2 tầng trung ban công nam tòa T11 giá 3,1 tỷ bao phí.Căn 83m2 tòa T8,9 giá 2.8 tỷ bao phí.Căn 4 phòng ngủ rộng nhất Times 160m2, view nhạc nước giá 7.3 tỷ bao phí.Bên khu Park Hill:Căn góc tòa Park 1 giá 5.1 tỷ bao phí.Căn 70m2 view quảng trường Park Hill giá 2.75 tỷ bao phí.Căn 84 m2 tòa P1 giá 3,4 tỷ bao phí.Căn 80,1m2 tòa park 7 giá 3,15 tỷ bao phí.Căn 3 phòng ngủ hoa hậu tầng trung tòa P3 giá 4.75 tỷ bao phí.Căn góc Đông nam 3 phòng ngủ tòa P5 giá 4.4 tỷ bao phí.Căn góc 115m2 park hill view thoáng đẹp, có 10 năm dịch vụ, giá 4.9 tỷ bao phí.Căn góc 128m2 view đẹp, giá 5.65 tỷ bao phí.Căn 115m2 view và thiết kế siêu đẹp tòa P7, giá 4.9 tỷ.Căn góc Đông Nam 4 phòng ngủ tòa P8 tầng đẹp giá 7.1 tỷ bao phí.Bên Premium:Căn 68m2 có 10 năm miễn dịch vụ giá 2.8 tỷ bao phí.Căn 79m2 tòa P12 giá 3.2 tỷ bao phí.Căn 3 phòng ngủ 118,5m2 full đồ đẹp tòa P12 giá 4,8tỷ bao phí.Căn góc Đông Nam tòa Park 9 giá 5,6 tỷ bao phí, full đồ đẹp.Căn 75m2 view nhạc nước tòa p9, giá 2.9 tỷ bao phí.Căn 79m2 tòa P10 view nhạc nước, giá 3.1 tỷ bao phí.Căn 118,5m2 tòa P11, giá 5 tỷ bao phí.Căn 4 phòng ngủ vip nhất dự án giá 7.75 tỷ bao phí, nhà mới chưa ở, miễn phí 10 năm dịch vụ.Ngoài ra chúng tôi còn rất nhiều căn chủ nhà gửi bán cắt lỗ sâu.Tất cả mọi giao dịch quý khách hàng đều làm việc trực tiếp với chủ nhà, chúng tôi sẽ hỗ trợ mọi thủ tục pháp lý liên quan đến quá trình mua bán, chuyển nhượng căn hộ từ khi hai bên ký hợp đồng đặt cọc, ký hợp đồng công chứng đến lúc ra sổ đỏ đứng tên khách hàng.",27151358,2-3,80-100
636,Vinhomes Times City - Park Hill,Apartment,3950.0,118.0,3,2,Nam,unknown,2020-11-17 00:00:00 UTC,None,"- Gia đình thiện chí căn 3 phòng ngủ - 118m2 tại Times City giá 3.95 tỷ bao phí. Nhà mới đẹp.- Diện tích: 118m2.- Ban công hướng Nam, view thoáng mát...- Thiết kế căn hộ: Căn hộ được thiết kế vô cùng hợp lý với 3 phòng ngủ vuông vắn, 2 vệ sinh, phòng khách rộng thoáng có logia, phòng bếp riêng biệt...- Nội thất căn hộ: Điều hòa, bếp điện, tủ bếp, tủ âm tường, sàn gỗ, trần thạch cao, thiết bị vệ sinh nhập ngoại...- Đặc biệt căn hộ thuộc tầng trung, view nhạc nước Times city.- Giá bán: 3.95 tỷ (bao phí).- Mọi thông tin liên hệ: Lê Hiền 0979011612 (Zalo/Face/Viber/IMessage).- Mail: Hienle@bdsnhamoi.vn/",26839939,3-4.5,100-150
637,Vinhomes Times City - Park Hill,Apartment,5120.0,112.0,3,2,Đông,có sổ đỏ/sổ hồng,2020-11-17 00:00:00 UTC,None,"Thông tin căn hộ:- Nhà đẹp.- Nhà thiết kế vuông vắn từng góc cạnh.- Diện tích: 112m2.- Hướng: Cửa hướng Tây, ban công hướng Đông. View sông Hồng cực thoáng mát, không bị chắn view.- Thiết kế: 3 phòng ngủ, 2 nhà vệ sinh. View Sông Hồng cực thoáng mát.- Nội thất: Hệ thống đèn chiếu sáng sang trọng, điều hòa âm trần, sàn gỗ, tủ âm tường, bếp, tủ bếp và các thiết bị vệ sinh cao cấp... Nhà đã được sửa sang lại rất đẹp (Có ảnh đi kèm).- Giá bán: 5.12 tỷ bao toàn bộ thuế phí (Có thương lượng nếu thiện chí).- Pháp lý: Căn hộ đã có sổ đỏ chính chủ.- Liên hệ trực tiếp: Lê Hiền: 0979011612 (Zalo, viber, Ims).",27725403,4.5-7.5,100-150
638,Vinhomes Times City - Park Hill,Apartment,3900.0,118.0,3,2,Bắc,unknown,2020-11-17 00:00:00 UTC,None,"- Gia đình thiện chí căn 3 phòng ngủ - 118m2 tại Times City giá 3.9 tỷ bao phí. Nhà mới đẹp.- Diện tích: 118m2.- Ban công hướng Bắc, view thoáng mát...- Thiết kế căn hộ: Căn hộ được thiết kế vô cùng hợp lý với 3 phòng ngủ vuông vắn, 2 vệ sinh, phòng khách rộng thoáng có logia, phòng bếp riêng biệt...- Nội thất căn hộ: Điều hòa, bếp điện, tủ bếp, tủ âm tường, sàn gỗ, trần thạch cao, thiết bị vệ sinh nhập ngoại...- Giá bán: 3.9 tỷ (gia đình chịu toàn bộ phí sang tên sổ đỏ).Mọi thông tin liên hệ: Lê Hiền 0979011612 (Zalo/Face/Viber/IMessage).- Mail: hienle@bdsnhamoi.vn",22293645,3-4.5,100-150
639,Vinhomes Times City - Park Hill,Apartment,3350.0,75.0,2,2,Nam,có sổ đỏ/sổ hồng,2020-11-17 00:00:00 UTC,None,"Mô tả:+ Chính chủ bán căn hộ 2PN khu Park Premium vip tòa P10.+ Diện tích 75m2, gồm 2PN sáng, 1PK rộng, 2WC, 1 bếp thông logia, 2 ban công.+ Có suất để xe máy, ô tô dưới hầm thuận tiện sinh hoạt đi lại.+ Sổ đỏ chính chủ sẵn sàng giao dịch, pháp lý minh bạch.+ Được hưởng Free toàn bộ tiện ích: Bể bơi bốn mùa, ngoài trời, sân chơi trẻ em, sân thể thao bóng đá, bóng bàn, bóng rổ, cầu lông, tenis,...+ Cực kỳ thuận tiện cho các cháu bé đi học trong khu, dễ dàng đăng ký các suất học mới.Liên hệ hỗ trợ: TPKD Hùng 0865.161216 (Zalo, SMS, Call, FB).Fb: Tran Duy HungEm: hungdbsvin@gmail.comZl: duyhungtimescity - Vinsland.",27821700,3-4.5,50-80
640,Vinhomes Times City - Park Hill,Apartment,5600.0,120.0,3,2,unknown,unknown,2020-11-17 00:00:00 UTC,None,"Gia đình cần bán gấp căn góc Park Hill.- Diện tích: 120m2, 3 phòng ngủ thoáng, 2 vệ sinh, 2 ban công.- Nhà mới sạch đẹp.- Tòa Park 08 một trong những tòa Vip nhất.- Có sổ đỏ.- Liên hệ xem căn hộ: 0978907979.",25159697,4.5-7.5,100-150
641,Vinhomes Times City - Park Hill,Apartment,3990.0,88.0,3,2,unknown,có sổ đỏ/sổ hồng,2020-11-17 00:00:00 UTC,None,"Gia đình cần tài chính gấp muốn bán nhanh căn hộ 3 PN. DT 88m2 tại Park Hill, giá bán 3,99 tỷ bao phí.Bán nhanh căn hộ 3 phòng ngủ sáng bao phí, view thoáng, tại Park Hill, giá bán nhanh 3,99 tỷ bao phí.- Diện tích căn hộ: 88m2.- Thiết kế căn hộ gồm 3 phòng ngủ sáng, 1 logia, 2 WC, 1 bếp, wiew vô cùng thoáng đãng.- Nội thất cơ bản: Sàn gỗ, trần thạch cao, điều hòa âm trần, tủ âm tường, tủ bếp, thiết bị vệ sinh cao cấp.- Căn hộ đã có sổ đỏ chính chủ.- Giá bán căn hộ: 3,99 tỷ bao phí.- Email: lientrinh@bdsnhamoi.vnLiên hệ xem nhà: 0968 205 369 hoặc 0348315712 (facebook, zalo, viber, message).",27820609,3-4.5,80-100
642,Vinhomes Times City - Park Hill,Apartment,3250.0,80.0,2,2,unknown,có sổ đỏ/sổ hồng,2020-11-17 00:00:00 UTC,None,"Rẻ chưa từng có! Bán nhanh căn hộ 2 PN, view thoáng tầng trung, tại Park Hill, giá bán 3,25 tỷ.- Diện tích căn hộ: 80m2.- Thiết kế căn hộ gồm 2 phòng ngủ sáng, 1 logia, 2 WC, 1 bếp, wiew vô cùng thoáng đãng.- Nội thất cơ bản: Sàn gỗ, trần thạch cao, điều hòa âm trần, tủ âm tường, tủ bếp, thiết bị vệ sinh cao cấp.- Căn hộ đã có sổ đỏ chính chủ.- Giá bán căn hộ: 3,25 tỷ bao phí.- Email: lientrinh@bdsnhamoi.vn- Liên hệ xem nhà: 0968205369 - 0348315712 (facebook, zalo, viber, message).",27820429,3-4.5,80-100
643,Vinhomes Times City - Park Hill,Apartment,3350.0,75.0,2,2,unknown,có sổ đỏ/sổ hồng,2020-11-17 00:00:00 UTC,None,"- Thiết kế vuông vắn với 2PN, 1 phòng khách, 1 bếp thông lô gia, 2WC, view bể bơi thoáng mát không bị che chắn tầm nhìn.- Nội thất cao cấp: Tủ âm tường, sàn gỗ, trần thạch cao, bếp hồng ngoại. Tủ bếp, điều hòa, thiết bị vệ sinh cao cấp.- Giá bán: 3,35 tỷ bao phí sang tên sổ đỏ.- Liên hệ xem căn hộ: 0962.984.823.",27820268,3-4.5,50-80
644,Vinhomes Times City - Park Hill,Apartment,4550.0,106.0,3,2,Nam,có sổ đỏ/sổ hồng,2020-11-17 00:00:00 UTC,None,"Bán nhanh căn hộ 3 phòng ngủ tòa Park 2, giá chỉ 4.55 tỷ, bao phí. Liên hệ: 0977088770.Diện tích 106 m2 thiết kế các phòng rộng rãi, lấy ánh sáng tự nhiên, phòng khách, bếp khá rộng và thoải mái.Ban công hướng Nam siêu mát.Nội thất: Nguyên bản chủ đầu tư chưa sửa chữa: 3 tủ quần áo, tủ bếp, bếp, hút mùi, điều hòa âm trần, sàn gỗ, trần thạch cao, trang thiết bị vệ sinh cao cấp, thiết bị cảm ứng smarthome...Sổ đỏ chính chủ.Giá bán nhanh chỉ 4.55 tỷ, bao phí.Vui lòng liên hệ: Trần Hoa: 0977 - 088 - 770.",25304309,4.5-7.5,100-150
645,Vinhomes Times City - Park Hill,Apartment,5400.0,116.0,3,2,unknown,unknown,2020-11-17 00:00:00 UTC,None,"Tin được không, bán căn góc 3PN, DT 116m2 Park Hill, giá siêu rẻ 5,4 tỷ bao phí, 0968.205.369.- Căn hộ ở Park Hill có diện tích: 116 m2 thiết kế 3 phòng ngủ, 2WC, phòng khách và bếp. Đây là thiết kế 3 phòng ngủ hiện đại nhất, đẹp nhất khu đô thị, bếp có logia riêng nên khi nấu nướng không bị mùi. Ngoài ra, phòng khách và phòng ngủ cũng đều có logia nên không gian căn hộ trông rất thoáng. Cả 3 PN đều đón ánh sáng tự nhiên.- Căn hộ đã đầy đủ nội thất chủ đầu tư: Tủ liền tường, tủ bếp, thiết bị vệ sinh- Giá bán: 5,4 tỷ (bao phí sang sổ).- Liên hệ để tư vấn và xem căn hộ: 0968.205.369 hoặc 0348315712 (zalo, viber, messenger).",27819249,4.5-7.5,100-150
646,Vinhomes Times City - Park Hill,Apartment,3200.0,83.0,2,2,Bắc,có sổ đỏ/sổ hồng,2020-11-17 00:00:00 UTC,None,"Chính chủ cần bán căn hộ chung cư 2PN, 83m2 thuộc tòa T18, khu đô thị Times City - Park Hill. Căn hộ tầng thấp, view bể bơi như resort. Nhà đã sửa chữa, thiết kế lại đẹp và hợp lý. Được miễn phí dịch vụ 4 năm nữa, có suất để oto. Liên hệ: 0903409225",27812362,3-4.5,80-100
647,Vinhomes Times City - Park Hill,Apartment,3020.0,68.0,2,2,Đông,có sổ đỏ/sổ hồng,2020-11-17 00:00:00 UTC,None,"Không có nhu cầu sử dụng, bán gấp căn hộ 2 phòng ngủ, diện tích 68m2 tầng trung, hướng Đông tại Park 11 - Times City, giá chỉ 3.02 tỷ bao phí.- Thiết kế căn hộ vuông vắn: Phòng khách rộng có ban công, 02 phòng ngủ sáng, 01 bếp, 02 nhà tắm.- Nội thất đầy đủ: Sàn gỗ, trần thạch cao, điều hòa âm trần, đèn chùm, tủ lạnh, máy giặt, lò vi sóng,...- Căn hộ có ban công hướng Đông, nhà vừa nhận lại từ chủ đầu tư nên còn mới đến 99%,...- Pháp lý: Có sổ đỏ chính chủ.- Giá chỉ 3.02 tỷ bao phí.- Liên hệ: 0963366248 (Hoàng Nguyễn - Zalo, viber).- Website: http://bdsnhamoi.vn/",27724275,3-4.5,50-80
648,Vinhomes Times City - Park Hill,Apartment,3350.0,79.0,2,2,Tây,có sổ đỏ/sổ hồng,2020-11-17 00:00:00 UTC,None,"- Diện tích: 79m2.- Gồm 2 phòng ngủ + 2 nvs + phòng khách, phòng bếp rộng rãi thuộc tầng 12a khu Park 5. Có ban công.- Đồ gỗ liền tường có để lại cho khách hàng.- Tiện ích ở Times City thì miễn bàn, vô vàn tiện ích cực hiện đại.- Sổ đỏ chính chủ, sang tay liền ngay.- Giá: 3,35 tỷ đã bao phí.- Liên hệ: Anh Tâm 0966 088 122.",27798810,3-4.5,50-80
649,Vinhomes Times City - Park Hill,Apartment,3250.0,80.0,2,2,Nam,có sổ đỏ/sổ hồng,2020-11-16 00:00:00 UTC,None,"Gia đình bán gấp căn hộ tòa Vip Park 08 - S= 80m2 - 2PN view quảng trường, chung cư Times City Park Hill - 458 Minh Khai - Hà Nội.- Thiết kế: 80m2 - 2PN, 2WC, 1 phòng khách, bếp. View thoáng mát. Nhà vẫn còn mới nguyên, khách mua nhận nhà vào ở ngay. Chủ nhà để lại toàn bộ nội thất cao cấp trong căn hộ. Khách mua chỉ việc đến ở.- Giá bán cực rẻ: 3,25 tỷ. Bao phí sang tên sổ đỏ.- LH trực tiếp: 098 2591 304.",27815132,3-4.5,80-100
